
 Version: 2.1
 Chunks: 1
 Start: 2024-07-10 09:41:13 (UTC)
 Duration: 6 s

 Event Type                                   Count  Size (bytes) 
 jdk.ZPageAllocation                              0             0
 jdk.ZRelocationSet                               0             0
 jdk.ZRelocationSetGroup                          0             0
 jdk.ZStatisticsCounter                           0             0
 jdk.ZStatisticsSampler                           0             0
 jdk.ZThreadPhase                                 0             0
 jdk.ZUncommit                                    0             0
 jdk.ZUnmap                                       0             0
 jdk.ShenandoahHeapRegionStateChange              0             0
 jdk.ShenandoahHeapRegionInformation              0             0
 jdk.Flush                                        0             0
 jdk.HeapDump                                     0             0
 jdk.GCLocker                                     0             0
 jdk.FileForce                                    0             0
 jdk.FileRead                                     0             0
 jdk.FileWrite                                    0             0
 jdk.SocketRead                                   0             0
 jdk.SocketWrite                                  0             0
 jdk.JavaExceptionThrow                           0             0
